,강력범,기타형사범,절도범,지능범,특별법범,폭력범,풍속범,강수량,최고기온,최저기온,습도,풍향,풍속
2008.11,282,1278,2387,5178,17862,5871,267,19.6,18.4,-7.2,57.95,320,2.2
2008.12,315,1390,2507,5608,17785,6494,224,25.9,13.3,-13.1,55.8612,340,2.5
2009.01,284,1061,1901,4844,13208,5081,248,5.7,12.2,-11.4,49.7483,250,2.5
2009.02,233,1099,1871,5005,13245,5119,278,36.9,16.1,-8.6,56.8964,180,2.5
2009.03,349,1340,2913,6207,17360,6532,454,63.9,22.2,-3.3,52.1664,290,3.1
2009.04,344,1432,2664,6100,18710,6531,633,66.5,25.8,2.2,54.4226,230,2.6
2009.05,555,1637,3767,6124,20526,7049,1216,109,31,9.8,58.5123,290,2.5
2009.06,431,1805,3397,6802,22114,7459,742,132,32.4,14.3,66.0167,250,2.5
2009.07,425,1577,4122,6458,18349,6870,691,659.4,32.4,18.7,75.7548,250,2.3
2009.08,401,1312,3324,5865,15579,5544,470,285.3,34.4,16.4,69.0516,270,2.2
2009.09,394,1450,4399,6347,15032,6117,465,64.5,29.9,14.4,64.3533,20,1.8
2009.1,407,1495,3457,6082,14011,5626,353,66.9,26.4,6.2,62.0354,320,2.1
2009.11,360,1323,2974,6133,13772,5613,357,52.4,21.8,-4.3,63.9233,50,2.5
2009.12,312,1333,2386,6295,13458,5528,296,21.5,10.1,-12.9,60.1322,290,2.5
2010.01,299,1073,1773,5109,10549,4783,315,29.3,8.4,-15.3,64.229,340,2.3
2010.02,369,1010,2218,4871,10049,4300,221,55.3,17.9,-10.8,58.525,270,2.4
2010.03,513,1371,3252,6308,13983,5515,306,82.5,14.2,-4,58.6225,290,2.9
2010.04,564,1378,3719,5706,13839,5474,237,62.8,20.7,1.1,54.09,250,2.9
2010.05,633,1333,4950,5199,12908,6017,229,124,28.6,5.8,61.9548,230,2.6
2010.06,597,1182,4744,5717,12128,6071,157,127.6,32.7,12.1,61.5667,270,2.1
2010.07,602,1217,4693,5639,10900,5909,175,239.2,32.3,21,73.5161,250,2.5
2010.08,644,1280,5014,5318,11189,6330,175,598.7,33.8,19.9,77.6419,200,2.4
2010.09,650,1283,4574,5211,9856,6160,183,671.5,31.4,8.4,72.2116,160,2.3
2010.1,626,1369,4829,6040,11806,6103,177,25.6,24.2,0.7,61.087,270,2.2
2010.11,542,1235,4725,5352,10927,6018,133,10.9,17.4,-5.2,54.67,290,2.8
2010.12,589,1328,4891,5898,11363,6118,149,16.1,13.5,-15.1,56.0032,250,3
2011.01,450,1177,3799,5367,9758,5270,153,8.9,0.3,-17.8,53.7516,320,2.8
2011.02,497,1006,4387,4464,8411,4873,139,29.1,13.2,-9.2,55.1857,50,2.6
2011.03,694,1375,7317,6547,11823,6205,212,14.6,16.8,-5.5,51.0516,250,3.4
2011.04,522,1251,4038,6174,11674,5377,233,110.1,19,4.3,54.19,230,3.2
2011.05,645,1303,4325,5888,12073,6156,244,53.4,31.2,8.5,56.4548,230,2.8
2011.06,633,1465,4346,6358,12376,6151,265,404.5,32.9,14.4,66.7567,70,2.9
2011.07,724,1475,4593,6107,11479,7328,248,1131,34.1,18.9,78.7516,50,2.4
2011.08,683,1445,4669,6023,12550,6732,180,166.8,34.1,18.1,74.4161,200,2.5
2011.09,554,1578,4312,5753,11107,6044,166,25.6,32.4,10.3,58.4233,70,2.4
2011.1,531,1461,4325,5917,12150,6097,183,32,23.4,3.1,54.487,290,2.1
2011.11,506,1529,4142,6181,11417,6076,183,56.2,25.9,-5.5,60.1,270,2.7
2011.12,466,1419,4041,6473,10403,5735,171,7.1,9.1,-10.6,50.522,270,2.6
2012.01,368,1226,3695,5755,9252,5226,143,6.7,8.4,-12.2,48.7516,340,2.5
2012.02,381,1208,3340,5834,9094,4681,153,0.8,12.1,-17.1,43.0379,320,2.9
2012.03,395,1404,3811,5900,8572,5419,142,47.4,16.2,-5.7,51.4195,270,3.5
2012.04,480,1421,4597,5991,9985,5853,144,157,29.4,0.6,54.0933,290,3.4
2012.05,597,1634,5376,6083,11111,6424,150,8.2,29.3,12,47.8874,270,2.7
2012.06,590,1766,5490,5860,11164,6344,149,91.9,33.5,16.3,54.07,20,2.8
2012.07,662,1871,6275,6463,11464,6772,216,448.9,33.2,18.5,74.0483,50,2.7
2012.08,604,1902,6273,6176,11376,6523,165,464.9,36.7,18.7,67.858,160,3
2012.09,553,1791,5333,5659,11103,5984,177,212,29.5,12,65.2167,50,2.3
2012.1,536,1776,6129,5999,12500,6553,229,99.3,26,2.8,58.2387,270,2.3
2012.11,465,1746,5606,6707,11640,5563,137,67.8,15.7,-3,57.26,290,2.7
2012.12,392,1600,5404,5811,9773,5281,137,41.4,8.3,-14.5,56.9674,290,2.7
2013.01,396,1631,4858,6336,10359,4990,126,22.1,11.5,-16.4,57.07741935,270,2.7
2013.02,346,1259,4382,4900,7644,4192,115,74.1,13.9,-15.8,53.62857143,290,2.9
2013.03,444,1495,4266,5829,9452,4936,129,27.3,23.8,-4.4,49.17419355,320,3
2013.04,546,1748,4915,6499,11376,5363,125,71.7,21.6,1.3,62.27818182,200,3.4
2013.05,558,1662,5203,7029,12097,5834,133,132,31.8,7.9,57.78387097,70,2.9
2013.06,619,1640,5871,6133,11791,5740,142,28.3,32.6,16.3,60.11,20,2.2
2013.07,649,1930,5830,7115,13251,6366,146,676.2,31.3,20.5,79.25483871,230,3.4
2013.08,615,1764,5650,6345,12460,5796,120,148.6,33.9,21.1,69.33870968,250,2.8
2013.09,547,1693,5602,6126,11458,5603,139,138.5,31.1,10.9,62.88666667,50,2.2
2013.1,669,2099,5690,6762,13933,6016,166,13.5,28.1,4.3,58.36451613,250,2.5
2013.11,415,1988,4702,6962,11825,5367,115,46.8,20.7,-6.4,58.18666667,230,2.7
2013.12,472,1656,4616,6505,10986,5219,106,24.7,11,-9.8,60.1516129,200,2.4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
